tool_name,PMID,publicationDOI,URL,biotoolsID,commit_id_260317
maelstRom,41188181,10.1093/gigascience/giaf125,http://github.com/Biobix/maelstRom,,862a5aea8010650ba14347aed45388b21c732891
GRASP,36699366,10.1093/bioadv/vbac066,http://github.com/biosustain/GRASP,,906c562d99609682d86983b883521c3c507a4b50
Chemprop,38147829,10.1021/acs.jcim.3c01250,http://github.com/chemprop/chemprop,,e3c13f091ee17f0ab905d955d9ab20666c1e89d0
PDBminer,37977136,,http://github.com/ELELAB/PDBminer,,0cfc4056d5d019b680edec0257dbe136afcf7a0f
PTRA,37992021,10.1371/journal.pdig.0000384,http://github.com/ExaScience/ptra,,90ce7d6db6e01fa887d4d15db4d3b3020da3615c
BIGwas,34184051,10.1093/gigascience/giab047,http://github.com/ikmb/gwas-qc,,1d85f7dcafd86c3fc380854fa6c0062f3552c6a5
Introducing ActiveInference.jl,39851682,10.3390/e27010062,http://github.com/ComputationalPsychiatry/ActiveInference.jl,,21216affd7f3ac20e28a4f7a11d68e13bc202f4f
ISA API,34528664,10.1093/gigascience/giab060,http://github.com/ISA-tools/isa-api/,,e224f917eb4e8eaf73e1e303decc886e7acf202c
DEER-PREdict,33481784,10.1371/journal.pcbi.1008551,http://github.com/KULL-Centre/DEERpredict,,0ebb50fe05c90d49159b7d95eaed3cc5fd5816e2
FRETpredict,38461354,10.1038/s42003-024-05910-6,http://github.com/KULL-Centre/FRETpredict,,e69256452d43dccd8a124f56b24d70dc51efdade
mOTUlizer,35979445,10.1093/nargab/lqac060,http://github.com/moritzbuck/mOTUlizer,,fe4237a8f983069622a6497159f071c5d4f4fd2e
Gretel,33444437,10.1093/bioinformatics/btaa977,http://github.com/samstudio8/gretel,,eb1041aad4756ef61aa2442f9af13ee4c2f5372d
fastDFE,38577958,10.1093/molbev/msae070,http://github.com/Sendrowski/fastDFE,,b7188279c65b963e6c3105790f1d5e1fda8326f6
Biosaur,33450063,,https://github.com/abdrakhimov1/Biosaur,,b0e4d5b9ea6edba272e97bec1c5dbdaaea4a1d10
RootPainter,35851958,10.1111/nph.18387,https://github.com/Abe404/root_painter,,c50499c8afe78d3ab4bbfe3985030a24ec612cbd
DNAModAnnot,33471071,10.1093/bioinformatics/btab032,https://github.com/AlexisHardy/DNAModAnnot,,1a2b344dc2d10b349c1f5d4a7129555b59dedea7
ClusterFinder,38420993,10.1107/S2053273324001116,https://github.com/AndySAnker/ClusterFinder,,b7849e6f9fa0499eb197de30be09ef9dbb3d0aa4
RBDtector,36463304,10.1038/s41598-022-25163-9,https://github.com/aroethen/RBDtector,,7c9c73d231a29d8ccf56d7eec69ae117ae781c0c
OpenMandible,33602549,,https://github.com/ArsoVukicevic/OpenMandible,,e1f8cef196adb29149a2193ffb0cb05dab631420
FRAGLER,35797032,10.1021/acssynbio.2c00106,https://github.com/AstraZeneca/fragler,,3847def90a50cf46f54a937b4e3f0ab86849c511
iAUSAXS,40765969,10.1107/S160057672500562X,https://github.com/AUSAXS/AUSAXS,,80cac8f3591c3877c1b3e82d6185099213d93d5f
AtlasGrabber,36526955,10.1186/s12859-022-05097-9,https://github.com/b3nb0z/AtlasGrabber,,8878335c6c4c73ae13a342068f0b44938dd18fb6
PRONAME,39758955,10.3389/fbinf.2024.1483255,https://github.com/benn888/PRONAME,,50a2be8d42183a83571cc6296c284e0033e7e0b9
SOAPTyping,32640979,10.1186/s12859-020-03624-0,https://github.com/BGI-flexlab/SOAPTyping,,c301841344fff53adb68a1701332e72c04a25ee1
Circr,36304313,10.3389/fbinf.2022.852834,https://github.com/bicciatolab/Circr,,22a50bbac172a4ad11d93f5794a1da75085e46ba
DDtrek,40488029,10.1021/acsomega.4c07417,https://github.com/BiocrystLab/DDtrek,,9a0f1064c17d6a5fa0c705f26a64783ad535ec77
Columba,34235407,10.1016/j.isci.2021.102687,https://github.com/biointec/columba,,919f207757c347541dea2fad6925fabfdd19ff24
spectrum_utils,36688502,,https://github.com/bittremieuxlab/spectrum_utils,,b6e5d488e20619ae0eef3ecfb508b84036793154
