tool_name,PMID,publicationDOI,URL,biotoolsID_260317,commit_id_260317,biotoolsID_260920
fNLA,35982194,10.1038/s41598-022-18180-1,https://github.com/jpviguerasguillen/feedback-non-local-attention-fNLA,,78f5067ce7619915c7914ef2cae7dead3d860224,
FQM,33932026,10.1002/mp.14912,https://github.com/nwerf/FQM_Analysis,,c7a6481470c3865e16cb335c6172bb5688eabe91,FQM_Analysis
fRLM,38205821,10.1093/ije/dyad190,https://github.com/jbodelet/fRLM,,8c60166f2198e9d717e6381916347aeaa25a650d,
GcDUO,40037642,10.1093/bib/bbaf080,https://github.com/mariallr/GcDuo,,3553e53c2c293c5c59923480693b384be9e7a816,
Gempipe,PPR1046301,,https://github.com/lazzarigioele/gempipe,,9007f905b5bd2e57a02a609eca832ac2215a8e0a,
GeneNetTools,36179082,10.1093/bioinformatics/btac657,https://github.com/V-Bernal/GeneNetTools,genenettools,a898b84a0ca551cfa62ab2c816f36890d175de39,
GENOVA,34046591,10.1093/nargab/lqab040,https://github.com/dewitlab/GENOVA,genova,72e4783dfc99d6f038a3acfd64d8f2637e40686a,
GenUI,34563271,10.1186/s13321-021-00550-y,https://github.com/martin-sicho/genui,genui,992b72af07c06f757fedc05b82442f427d8b0b95,
GlassesValidator,37326770,10.3758/s13428-023-02105-5,https://github.com/dcnieho/glassesValidator,,71dd7e8ec86c18dbf8d6abd6dad436008d11fefc,
GlassesViewer,31898293,10.3758/s13428-019-01314-1,https://github.com/dcnieho/GlassesViewer,glassesviewer,a95ffe39da4ae010afdba02aa04de677e597d9b7,
GlycoDash,39985669,10.1007/s00216-025-05794-3,https://github.com/Center-for-Proteomics-and-Metabolomics/glycodash,,5133a01980df7bd7d2c4d7ea1a9dbebc9f4862d9,GlycoDash
GMGTS,40199819,10.1093/bioinformatics/btaf154,https://github.com/yulanvanoppen/GMGTS,,15e5d3970871e1d0eac48b7dc517ef5f8edac843,
GmT,30597007,10.1093/gigascience/giy166,https://github.com/erasmusmc-bioinformatics/galaxy-mothur-toolset,GmT,7c567b0d2bec317f2e7b3347f65aba66b130cbdd,
Graphite,39445080,10.1093/nargab/lqae142,https://github.com/MGXlab/Graphite,,469e77dc2f0049e615207dda82e00cfa4eef6030,
GROMACS,16211538,10.1002/jcc.20291,https://gitlab.com/gromacs/gromacs,gromacs,a6a847515aa0600ea0737f4dbce81c3f4d88c9fb,
GSI-RADS,34572900,10.3390/cancers13184674,https://github.com/SINTEFMedtek/GSI-RADS,,1ec452e575c948fcf0ba8df4cec0528b27f752d3,
HAMLET,32127641,10.1038/s41375-020-0762-8,https://github.com/LUMC/HAMLET,,841a222843241657cbd36d15afe2613f64d8a13c,
HDILib,28113434,10.1109/tvcg.2016.2570755,https://github.com/biovault/HDILib,,ca6f93b927dbd2b6bbdaf8346e77cd14ca35887e,
homologueDiscoverer,36165687,10.1093/bioinformatics/btac647,https://github.com/kevinmildau/homologueDiscoverer,,80283b39c18a3086f3fab4acb78b955f27c25308,
HPCCS,31729669,10.1007/978-1-0716-0030-6_19,https://github.com/cepid-cces/hpccs,HPCCS,cbfaa56f0fcc5ef49e8946e7373784ae5eeb5b0a,
HUMID,,,https://github.com/jfjlaros/HUMID,,a29d8cd6c8f7c8e42ca22b134ba26e2eda73bd34,
HyperBeta,33833280,10.1038/s41598-021-87087-0,https://github.com/aresio/hyperbeta,hyperbeta,b241cf3df7bfad397cb5680b48e3e5c42c0cf03c,
HyPyP,33031496,10.1093/scan/nsaa141,https://github.com/GHFC/HyPyP,,1e24e0c942e7cfd26ee759bc2d377e76201aea5a,
iCascabel,33329686,10.3389/fgene.2020.489357,https://github.com/AlejandroAb/CASCABEL,,91f193d9d827b716a68cf2072cfd7a3f90f35c59,
iCRF Generator,PPR118604,,https://github.com/aderidder/iCRFGenerator,icrf_generator,abe8d8f59cb13df4952c4d78e30d921eb0618a6e,
iKaptive,37130055,10.1099/mgen.0.001007,https://github.com/klebgenomics/Kaptive,ikaptive,ed770901a5f96607b92453312f7db0e086b39dd3,
Immunometabolic Atlas,35550647,10.1371/journal.pone.0268408,https://github.com/vanhasseltlab/IMatlas,,3f7afb0c569cb3d638e290beed63244b13c03261,
InContext,33579375,10.1186/s13326-021-00234-4,https://github.com/MaastrichtU-IDS/incontext-indications-analysis,,119bc130d09a63012af0615639247c4a8746a187,
INFLECT,36384426,,https://github.com/jnverhoeff/GarciaVallejoLab,inflect_cluster,52fe84bab3d226aa0982d04657893c2f2d7b93f1,
IPCA,39467687,10.1021/jasms.4c00314,https://github.com/KKrijnen/IPCA,,10ff7a7b1799e82659aa2a32ab59f8b2cc1117a5,
iPCMol,39475544,10.1021/acs.jcim.4c00309,https://github.com/CDDLeiden/PCMol,,6e2bd12bd7455e2a81c57032f2ef46fe2d30e8c5,
iScore,31199455,10.1093/bioinformatics/btz496,https://github.com/DeepRank/iScore,iScore,ccfa5b332670ffa71d0e994d558a90c2b29f7002,
jit-open,,,https://github.com/jfjlaros/jit-open,,ad6e73d780156c27b99cefba4af2f2831bd29230,
Jovian,39472593,10.1038/s41598-024-73785-y,https://github.com/DennisSchmitz/jovian,,2943ce8897a9bb4cd11490e25e5d9d1a41a566ff,
Kinbank,37224178,10.1371/journal.pone.0283218,https://github.com/kinbank/kinbank,kinbank,e4981842b24178b97af1fb68bb8a7e35f8f9bb77,
LAMPA,32003788,10.1093/bioinformatics/btaa065,https://github.com/Gorbalenya-Lab/LAMPA,lampa,2d8e67cd7494e1538e37075da7db2682c56c7a2e,
LayNii,33991698,10.1016/j.neuroimage.2021.118091,https://github.com/ofgulban/LayNii_extras,laynii,5e8e54610a158856574af3d802db13c06690e868,
LightDock,31418773,10.1093/bioinformatics/btz642,https://github.com/lightdock/lightdock,lightdock,26163d97a095d347af8369c1e8551847488ffebb,
LLM Extractinator,,,https://github.com/DIAGNijmegen/llm_extractinator,,464e98c865771513769f478cb839fe21199426d5,
LMFA,36050575,10.3758/s13428-022-01898-1,https://github.com/LeonieVm/lmfa,,a72ca840ac643c2b9f9438e60306049c99e932ef,
LoFTK,36732776,10.1186/s13040-023-00321-5,https://github.com/CirculatoryHealth/LoFTK,loftk,c8783ebfa386cad405c834b4a7783f259388cd0d,
LOVD,34521998,10.1038/s41431-021-00959-x,https://github.com/LOVDnl/LOVD3,lovd,35199932c3e33485913d9d52e725de1314822ab5,
M2R,33523116,10.1093/bioinformatics/btab060,https://github.com/e-weglarz-tomczak/m2r,m2r,220e8dc81e93a6959ae0abd100f351115eaf2e76,
Manivault Studio,37871056,10.1109/tvcg.2023.3326582,https://github.com/ManiVaultStudio/core,,161bbbf59eb1b140146feaab15ff3038af4768d0,
MassyTools,26565759,10.1021/acs.jproteome.5b00658,https://github.com/Tarskin/MassyTools,massytools,6e3c43b9be1a70a6e2af8c29333b9209c3f325b2,
MEA-ToolBox,35680724,10.1007/s12021-022-09591-6,https://github.com/DrJPFrimat/MEA-ToolBox,,faa899f7ec5e387f98ceb1f4c19f3b76ea4d8ba4,
MetalDock,38048559,10.1021/acs.jcim.3c01582,https://github.com/MatthijsHak/MetalDock,metaldock,73a52ccf1bd1a8d199f80405ee9da70135c7cda6,
metaRbolomics Toolbox,31548506,10.3390/metabo9100200,https://github.com/sneumann/metaRbolomics,metaRbolomics,9a7b4198f9d0a3108dd7587ea04e54fbcf812052,
Metascan,36304333,10.3389/fbinf.2022.861505,https://github.com/gcremers/metascan,,eb82536bd852d27a878cf48e5d4c95012274f71e,
MGcount,35030988,10.1186/s12859-021-04544-3,https://github.com/hitaandrea/MGcount,mgcount,92f974eff688d220ba05aaadd9fb7d7a794a4260,
MicrobeRX,40108657,10.1186/s40168-025-02070-5,https://github.com/GRONINGEN-MICROBIOME-CENTRE/MicrobeRX,,a4d8aa7c178f942e65a73f1372a8e12d1c37dfbf,
MIMIC-IV FHIR,36688534,10.1093/jamia/ocad002,https://github.com/kind-lab/mimic-fhir,,43272242b48c6e149704f5cf0b99779d7a0832a5,
MOLGENIS EMX2,30165396,10.1093/bioinformatics/bty742,https://github.com/molgenis/molgenis-emx2,molgenis,c96e3f990e41218e7b49b65754eaa7e560c41896,
MOLGENIS toolkit,21210979,10.1186/1471-2105-11-s12-s12,https://github.com/molgenis/molgenis,molgenis,b2b0016b22dcddca3d1666a1b186a4404535897d,
molgenis-rdconnect-report,,,https://github.com/molgenis/molgenis-rdconnect-report,,82f8e23bc67841d516b1038d380105fbc80a845a,
MRS,,,https://github.com/cmbi/mrs,,4d8442bfbaa5086f159907d4e62888bca329efc9,
MS2LDA,,,https://github.com/vdhooftcompmet/MS2LDA,,33c1fda9a73c0de9f676e5089724a6dcbec8e0b4,
msGBS,33058506,10.1111/1755-0998.13278,https://github.com/NielsWagemaker/scripts_msGBS,,bf72cb1ebbc7319ef2a5e0f1cf803af46310b17a,
msiFlow,39870624,10.1038/s41467-024-55306-7,https://github.com/Immunodynamics-Engel-Lab/msiflow,,05c78435a5fc28597e8fc9c18676a90cd923dab4,
multiSyncPy,35513768,10.3758/s13428-022-01855-y,https://github.com/cslab-hub/multiSyncPy,multisyncpy,cc2de1ff0bd7339cf333783661f6d02cee66e8a4,
MUST-segmenter,36789266,10.1016/j.csbj.2023.01.023,https://github.com/kyliekeijzer/Slicer-PET-MUST-segmenter,,174f4676110034f21c1129dc06a06e4c9943d24a,
Mutalyzer,33538839,10.1093/bioinformatics/btab051,https://github.com/mutalyzer/mutalyzer,mutalyzer,171f36ada65b228c443b359925305bd85e9fa40e,
MycoAI,39152642,10.1111/1755-0998.14006,https://github.com/MycoAI/MycoAI,,9f0cc92b470cefa72092f4278810300a89e53305,
mzQC,38918936,10.1021/jasms.4c00174,https://github.com/HUPO-PSI/mzQC,,8d9057fac4c95db85dcad41cebdcf3c018590f77,
mzRecal,33538780,10.1093/bioinformatics/btab056,https://github.com/524D/mzRecal,mzrecal,87f75db016b249c62cbb1aae5e80261de58783c8,
NACHO,31504159,10.1093/bioinformatics/btz647,https://github.com/mcanouil/NACHO,NACHO,7c2b47df9c10e7d263101f20a81e017bbfefba1c,
NIDN,36550167,10.1038/s41598-022-26312-w,https://github.com/esa/NIDN,,a7416d3b8450a64a2855f4f13b6fc774485bef4f,
NiftyPAD,36622500,10.1007/s12021-022-09616-0,https://github.com/AMYPAD/NiftyPAD,niftypad,2c54719ed499f66e7be73bdd7cde793b772ada61,
NINscope,31934857,10.7554/elife.49987,https://github.com/ninscope/Software,,972f6469d5ddf1d5bbbdfa7a3f7e5d8760093908,
NovoLign,39493671,10.1093/ismeco/ycae121,https://github.com/hbckleikamp/NovoLign,,7864ca708bb8ffc4cf62974de02d1d3024152a0b,
NovoLign (newer version),39493671,10.1093/ismeco/ycae121,https://github.com/pabstm/NovoLign,,6cd920fde85f8028950ad4b5c0977511153aae2c,
NPLinker,33945539,10.1371/journal.pcbi.1008920,https://github.com/NPLinker/nplinker,,e2fac671751b7d8d315cfa34a131a1561fa415f5,
NPOmix,36712343,10.1093/pnasnexus/pgac257,https://github.com/tiagolbiotech/NPOmix_python,npomix,afffd6ab2450c2e8e69cd2b979dc0d4af08622ae,
online-array,,,https://github.com/jfjlaros/online-array,,e946f9d8e89a77f67317eb6136f5c5d1df9d20ed,
OPSCCnet,37598255,10.1038/s41746-023-00901-z,https://github.com/OPSCCnet/OPSCCnet,,f4f8024e313b9046d4debc65cafe9e3e163778be,
OQS,36035246,10.1016/j.xhgg.2022.100133,https://github.com/maarjl/CNV_OQS,,fd2f5c7c0922e646e029425dbd2585fea72255be,
Palidis,36897935,10.1099/mgen.0.000917,https://github.com/blue-moon22/palidis4,palidis4,d85894ebae269a8dbf37df6897cdd8d6e14cf2b3,
PALMS,33352643,10.3390/s20247302,https://github.com/PALMS-gui/PALMS,palms,41edd5a59634e1da5e900dafdec401b9f7e6d765,
PANDORA,38143769,10.3389/fimmu.2023.1285899,https://github.com/X-lab-3D/PANDORA,,618bbb573645bd428697666475a2e47a2e418d01,
Paratype,36564386,10.1038/s41467-022-35587-6,https://github.com/CHRF-Genomics/Paratype,paratype,099db9b4de828e9c993fe76164f85731f6368e86,
PAROS,38271188,10.1167/iovs.65.1.43,https://github.com/MREYE-LUMC/PAROS,,21ea6eeb3766e9ddf7979a0f5ed066147feca785,
PathVisio,25706687,10.1371/journal.pcbi.1004085,https://github.com/PathVisio/pathvisio,pathvisio,8c418c9c9ed2d0e1a24756095258745b450cf04b,
patRoon,33407901,10.1186/s13321-020-00477-w,https://github.com/rickhelmus/patRoon,patroon,535ea1c29e13bb47430e27cd6721355c9571c265,
PeakML/mzMatch,21401061,10.1021/ac2000994,https://github.com/andzajan/mzmatch.R,mzmatch,2a19cf8051fe5c757f4c63cb55049b636515bffb,
PHFinder,37744223,10.7717/peerj.16028,https://github.com/MSuarezMenendez/PHFinder,phfinder,0314fe5f4fe0234cba09a33eb1606b52c4012a3a,
PIPENN,35150231,10.1093/bioinformatics/btac071,https://github.com/ibivu/pipenn/,pipenn,91d613efbba6385bab23991fdb610722d0676476,
Planemo,36828587,10.1101/gr.276963.122,https://github.com/galaxyproject/planemo-ci-action,,13ce3c3f235ca8d11633a04fb77e130103d21fff,
PPNID,31529041,10.1093/bioinformatics/btz707,https://github.com/xueqing4083/PPNID,PPNID,10ace6b10ff7d1a6f725cc89244aadaa756a7ff6,
PRALINE multiple sequence alignment toolkit,15980472,10.1093/nar/gki390,https://github.com/ibivu/PRALINE,praline-2-a,fee2edae1ad9903dcaaa2741a81b803e12be7be7,
PSnpBind-ML,36864534,10.1186/s13321-023-00701-3,https://github.com/BiGCAT-UM/PSnpBind-ML-notebook,,1a04cf4ede8bea9e30cd975ae1fa66de4478902d,
PyCalibrate,37815435,10.1242/bio.059758,https://gitlab.com/psfcheck/pycalibrate-psf,,1a2c2f43c85cf1234a07349d64fe679ab46bfd3b,
PyGellermann,37403146,10.1186/s13104-023-06396-x,https://github.com/YannickJadoul/PyGellermann,pygellermann,563732feb1883954f7f5acc1e0251e8cd0e6a14b,
pyROT,,,https://github.com/MREYE-LUMC/pyROT,,d2c6d0f36e6d2e7f01279d1bd4f140362aa3d17e,
Q-VAT,37332588,10.3389/fcvm.2023.1147462,https://github.com/bramcal/Q-VAT,q-vat,c7762b79223719ef6f4148d778709900c74361ba,
QAM,33777768,10.3389/fonc.2021.623098,https://github.com/artorg-unibe-ch/qam,,cedfa651c233a82692a57f9fe0af00631deeabf6,qam
quickLD,34062051,10.1111/1755-0998.13438,https://github.com/pephco/quickLD,quickld,ee5c639281c2b13958ffc16faab828c9a732f234,
RAIChU,39227914,10.1186/s13321-024-00898-x,https://github.com/BTheDragonMaster/RAIChU,,555c7b6c7fe4e97e118fc525c33bd69e72f23fcb,
RAiSD-AI,30271960,10.1038/s42003-018-0085-8 ,https://github.com/alachins/RAiSD-AI,,a47fb8dcc77b9e6e0b916e083df557039b382310,RAiSD-AI
RCRIvalidation,,,https://github.com/ohdsi-studies/RCRIvalidation,,8b28d8da957b21c4c2cbf5a01b69bd79e623f47d,
RDF2Graph,26500754,10.1186/s13326-015-0038-9,https://github.com/jessevdam/RDF2Graph,,9873826a53bd9cedc31df9dfbb172a08ea74b0f8,
RECAST3D,37973801,10.1038/s41598-023-46028-9,https://github.com/cicwi/RECAST3D,,9c886d7030ba060d831fca9b2cf6b71b950a142f,
ReFiBot,38020541,10.1016/j.ohx.2023.e00484,https://github.com/saidlab-team/RefiBot,,85be50694d59058a5cd32bcb38e4ef7235a7c523,
RRE-Finder,32873609,10.1128/msystems.00267-20,https://github.com/Alexamk/RREFinder,rre-finder,1be526f1566036c461d24b7149cae1449480be79,
rtfMRI-NF,32333624,10.1002/hbm.25010,https://github.com/jsheunis/quality-and-denoising-in-rtfmri-nf,rtfmri-nf,86e9ebfe4c2d34fba2704ec50af12b8bb3f4eee4,
RWE-BRIDGE,39603653,10.1002/pds.70062,https://github.com/UMC-Utrecht-RWE/RWE-BRIDGE,,ee93ddda955c334085b34f8fcd26e635107f4911,
SambaR,33503314,10.1111/1755-0998.13339,https://github.com/mennodejong1986/SambaR,,6f497ddb21b5eb6e623e49d4b570f8464918db2d,
ScAnalyzer,38822355,10.1186/s13007-024-01213-3,https://github.com/MolPlantPathology/ScAnalyzer,scanalyzer,c7d4957e67dd12151177d402e3522b779afa21f0,
SELMA,39841291,10.1007/s12021-024-09703-4,https://github.com/TNI-UMCU/SELMA/,,53a5cc38d7da8768dc846579df725eca9a895fc4,
sequali,39927290,10.1093/bioadv/vbaf010,https://github.com/rhpvorderman/sequali,sequali,a82688e0f606629945a3ab537a0a34614772c26b,
SIRV,39108639,10.1093/nargab/lqae100,https://github.com/tabdelaal/SIRV,,dfdea12eb2afb7d74286213c5da6c67d8479a190,
SLA,34637296,10.1021/jasms.1c00203,https://github.com/syjgino/SLA,,fefe652bf32f4f78e7ed837f1dcfc570ad1e244b,
Slurm Viewer,,,https://gitlab.com/lkeb/slurm_viewer,,1fecd4eecdd5d2e1b8b890ec29b3e95e98d467fa,
SNIRF,36507152,10.1117/1.nph.10.1.013507,https://github.com/fNIRS/snirf,,402f9d28e97c585c87e26a18f53991a7e6fff92c,
SPPINN,37778103,10.1016/j.media.2023.102971,https://github.com/lucasdevries/SPPINN,,73d7cec7d561878a074f1443598c2db00da9c74b,
spreadscript,,,https://github.com/jfjlaros/spreadscript,,3b6e489cbc9a952dcb51cb2e4ad7467c178fba17,
StochPy,24260203,10.1371/journal.pone.0079345,https://github.com/SystemsBioinformatics/stochpy,,a9074d5070043fba996ed0d29ae8fae39de67910,
Sushi,,,https://gitlab.com/hg-aumc/bioinf/pipelines/sushi,,6172fcda8b07d1797bd962b73266c31024e11ec9,
SyNCoPy,39635648,10.3389/fninf.2024.1448161,https://github.com/frieslab/syncopy_paper,,1a910f1ab2febe35b05dfb54ae2635d4224e1556,
SynthSeg,37526657,10.1007/s00234-023-03189-8,https://github.com/BBillot/SynthSeg,,2a2aa3bbfccb83f8253a51ca8b329b9938a2646d,
Tallo,35703577,10.1111/gcb.16302,https://github.com/selva-lab-repo/TALLO,tallo,95d7788d204c090fa4c425ac21db76d2b5bb25c9,
Tanuki,,,https://gitlab.com/hg-aumc/bioinf/pipelines/tanuki,,8841971ae9b0a90f0220e436efcf25d3a3c04034,
thromboSeq,34572871,10.3390/cancers13184644,https://github.com/MyronBest/thromboSeq_source_code,,fd4a5c2eaa409c42ce81b10fc50a412793024b66,thromboseq
