tool,overall,compatibility,fairness,maintainability,sustainability,security,scientific_impact
REINVENT 4,0.5753742616360006,0.0,1.0,0.89351718866,0.32577189619676594,0.0,0.9591392365621558
maelstRom,0.4146848814947893,0.0,1.0,0.75979830863,0.16077377315959404,0.0,0.05747582001359381
RGCode,0.5381386033506201,0.0,1.0,0.92759658246,0.1692398456332939,0.47669736382597355,0.32529960058677954
voomCLR,0.383333330483605,0.0,1.0,0.6350847930799999,0.1595460744872728,0.0,0.006463189451045989
EDIR,0.4205501541130831,0.0,1.0,0.8210668876999999,0.15891068773106556,0.0,0.0032315947255229945
PDBminer,0.20058602807165588,0.0,0.0,0.63744916831,0.26380138918469187,0.0,0.20004397792394527
HOMS-TC,0.4628566590254992,0.0,1.0,0.88602706147,0.23781379754222007,0.0,0.1311096136548026
STmut,0.4576249067800338,0.0,1.0,0.714563601,0.3045504987735339,0.0,0.28190860358388903
EARS,0.43588939920038183,0.0,1.0,0.8985571944999999,0.15891068773106556,0.0,0.0
RBDtector,0.4542759072379848,0.0,1.0,0.87025936721,0.15732158085375492,0.0,0.21314786440375832
Genesis-DB,0.47236910010823924,0.0,1.0,1.0,0.1730425566913277,0.0,0.11628017311511071
Tquery,0.44171916059386773,0.0,1.0,0.91419085004,0.16574933585694185,0.0,0.012262112358130432
TransExION,0.4576858820570145,0.0,1.0,0.9220060888499999,0.15891068773106556,0.0,0.14878619982342706
webFlaGs,0.46269482307605386,0.0,1.0,0.40137661959999993,0.25589638970710765,0.47669736382597355,0.45906453049358126
gACSON,0.2268200733543321,0.0,0.0,0.82850591803,0.1724480378497142,0.0,0.2373864646309089
prophaser,0.4398116723474196,0.0,1.0,0.7759028796499999,0.16239896102264328,0.0,0.24572905002326795
NGSremix,0.4059079159681328,0.0,1.0,0.62716839988,0.13202991790205906,0.0,0.2616673791607281
proChIPdb,0.3509122876472098,0.0,1.0,,0.17099216694855032,0.0,0.20801320804063544
Gretel,0.4277301939104181,0.0,1.0,0.70423377138,0.12090934999999998,0.0,0.3336141191922569
PRONAME,0.46144251963587024,0.0,1.0,0.8791031349999999,0.20455764145769997,0.0,0.18433374180418
MaRe,0.47280277772083995,0.0,1.0,0.9692114844299999,0.18660832050072015,0.0,0.15280885213473872
COSGAP,0.5253996869223415,0.0,1.0,0.83832892897,0.21499332746736227,0.47669736382597355,0.2987256449234196
seqNdisplayR,0.3317968313422361,0.0,1.0,0.2737302672,0.16756161659935012,0.0,0.18323197733712276
MASSef,0.414023788907835,0.0,1.0,0.68069831968,0.19922132394218683,0.0,0.13006089801425064
ClusterFinder,0.4160291664848527,0.0,1.0,0.7207282213999999,0.15652702741509958,0.0,0.14516798708248058
AtlasGrabber,0.4017269485595015,0.0,1.0,0.6039509865699999,0.17357932413667437,0.0,0.19964695695198956
ion-to-image i2i,0.47855285596673,0.0,1.0,0.9802542972299999,0.16098056148091427,0.0,0.22454982372310167
ArcTiCA,0.45645463596145386,0.0,1.0,1.0,0.15891068773106556,0.0,0.0
Deuteros 2.0,0.4674617464634563,0.0,1.0,0.6960999983999999,0.3136164438329663,0.0,0.3859293542678944
NGSpeciesID,0.46669523344817754,0.0,1.0,0.7238933713799999,0.14683568627831856,0.0,0.5974267796285483
