tool_name,PMID,publicationDOI,URL,biotoolsID
Paratype,36564386,10.1038/s41467-022-35587-6,https://github.com/CHRF-Genomics/Paratype/,paratype
PAROS,38271188,10.1167/iovs.65.1.43,https://github.com/MREYE-LUMC/PAROS,
PathVisio,25706687,10.1371/journal.pcbi.1004085,https://github.com/PathVisio/pathvisio,pathvisio
patRoon,33407901,10.1186/s13321-020-00477-w,https://github.com/rickhelmus/patRoon,patroon
PeakML/mzMatch,21401061,10.1021/ac2000994,https://github.com/andzajan/mzmatch.R,mzmatch
PHFinder,37744223,10.7717/peerj.16028,https://github.com/MSuarezMenendez/PHFinder,phfinder
PIPENN,35150231,10.1093/bioinformatics/btac071,https://github.com/ibivu/pipenn/,pipenn
Planemo,36828587,10.1101/gr.276963.122,https://github.com/galaxyproject/planemo-ci-action,
PPNID,31529041,10.1093/bioinformatics/btz707,https://github.com/xueqing4083/PPNID,PPNID
PRALINE multiple sequence alignment toolkit,15980472,10.1093/nar/gki390,https://github.com/ibivu/PRALINE,praline-2-a
PSnpBind-ML,36864534,10.1186/s13321-023-00701-3,https://github.com/BiGCAT-UM/PSnpBind-ML-notebook,
PyCalibrate,37815435,10.1242/bio.059758,https://gitlab.com/psfcheck/pycalibrate-psf,
PyGellermann,37403146,10.1186/s13104-023-06396-x,https://github.com/YannickJadoul/PyGellermann,pygellermann
pyROT,,,https://github.com/MREYE-LUMC/pyROT,
Q-VAT,37332588,10.3389/fcvm.2023.1147462,https://github.com/bramcal/Q-VAT,q-vat
QAM,33777768,10.3389/fonc.2021.623098,https://github.com/artorg-unibe-ch/qam,
quickLD,34062051,10.1111/1755-0998.13438,https://github.com/pephco/quickLD,quickld
RAIChU,39227914,10.1186/s13321-024-00898-x,https://github.com/BTheDragonMaster/RAIChU,
RAiSD-AI,30271960,10.1038/s42003-018-0085-8 ,https://github.com/alachins/RAiSD-AI,
RCRIvalidation,,,https://github.com/ohdsi-studies/RCRIvalidation,
RDF2Graph,26500754,10.1186/s13326-015-0038-9,https://github.com/jessevdam/RDF2Graph,
RECAST3D,37973801,10.1038/s41598-023-46028-9,https://github.com/cicwi/RECAST3D,
ReFiBot,38020541,10.1016/j.ohx.2023.e00484,https://github.com/saidlab-team/RefiBot,
RRE-Finder,32873609,10.1128/msystems.00267-20,https://github.com/Alexamk/RREFinder,rre-finder
rtfMRI-NF,32333624,10.1002/hbm.25010,https://github.com/jsheunis/quality-and-denoising-in-rtfmri-nf,rtfmri-nf
RWE-BRIDGE,39603653,10.1002/pds.70062,https://github.com/UMC-Utrecht-RWE/RWE-BRIDGE,
SambaR,33503314,10.1111/1755-0998.13339,https://github.com/mennodejong1986/SambaR,
ScAnalyzer,38822355,10.1186/s13007-024-01213-3,https://github.com/MolPlantPathology/ScAnalyzer,scanalyzer
SELMA,39841291,10.1007/s12021-024-09703-4,https://github.com/TNI-UMCU/SELMA/,
sequali,39927290,10.1093/bioadv/vbaf010,https://github.com/rhpvorderman/sequali,sequali
SIRV,39108639,10.1093/nargab/lqae100,https://github.com/tabdelaal/SIRV,
SLA,34637296,10.1021/jasms.1c00203,https://github.com/syjgino/SLA,
Slurm Viewer,,,https://gitlab.com/lkeb/slurm_viewer,
SNIRF,36507152,10.1117/1.nph.10.1.013507,https://github.com/fNIRS/snirf,
SPPINN,37778103,10.1016/j.media.2023.102971,https://github.com/lucasdevries/SPPINN,
spreadscript,,,https://github.com/jfjlaros/spreadscript,
StochPy,24260203,10.1371/journal.pone.0079345,https://github.com/SystemsBioinformatics/stochpy,
Sushi,,,https://gitlab.com/hg-aumc/genome-analysis/sushi,
SyNCoPy,39635648,10.3389/fninf.2024.1448161,https://github.com/frieslab/syncopy_paper,
SynthSeg,37526657,10.1007/s00234-023-03189-8,https://github.com/BBillot/SynthSeg,
Tallo,35703577,10.1111/gcb.16302,https://github.com/selva-lab-repo/TALLO,tallo
Tanuki,,,https://gitlab.com/hg-aumc/genome-analysis/tanuki,
thromboSeq,34572871,10.3390/cancers13184644,https://github.com/MyronBest/thromboSeq_source_code,
TOSCCA,38456127,10.1093/bioadv/vbae021,https://github.com/nuria-sv/toscca,
TreatmentPatterns,36084453,10.1016/j.cmpb.2022.107081,https://github.com/mi-erasmusmc/TreatmentPatterns,treatmentpatterns
trie,,,https://github.com/jfjlaros/trie,
tssv,,,https://github.com/jfjlaros/tssv,
ValidSense,,,https://github.com/umcu/ValidSense,
VBG,33454411,10.1016/j.neuroimage.2021.117731,https://github.com/KUL-Radneuron/KUL_VBG,kul-vbg
VIBE,36619248,10.1002/ggn2.10023,https://github.com/molgenis/vibe,vibe
VIRUSBreakend,33973999,10.1093/bioinformatics/btab343,https://github.com/PapenfussLab/VIRUSBreakend,
WGDTree,36434497,10.1186/s12859-022-05042-w,https://github.com/cnickh/wgdtree,wgdtree
WikiPathways ,29136241,10.1093/nar/gkx1064,https://github.com/wikipathways/wikipathways-database,wikipathways
WOMBAT-P,38038272,10.1021/acs.jproteome.3c00636,https://github.com/wombat-p/WOMBAT-Pipelines,
XNAT Browser,,,https://gitlab.com/lkeb/xnat_browser,
XNAT Dashboard,,,https://gitlab.com/lkeb/xnat_dashboard ,
XNAT Pipelines,,,https://github.com/jhuguetn/xnat-pipelines,
