tool,overall,compatibility,fairness,maintainability,sustainability,security,scientific_impact
NovoLign,0.3290226605026729,0.0,0.465632,0.6407636412291666,0.17733453611150923,0.0,0.5412856907635736
PRALINE multiple sequence alignment toolkit,0.5333073719029251,0.6585757321349203,0.715078,0.6964018274999999,0.15096515334451227,0.22370144841970407,0.6566263500096923
Palidis,0.5540499123355295,1.0,0.715078,0.8107737758125,0.16047095279600138,0.22370144841970407,0.15939990203459914
OQS,0.4611031084386962,0.0,0.715078,0.8909143268749999,0.15891068773106556,0.22370144841970407,0.5578306439874698
CAPICE,0.6847514401212672,0.6585757321349203,0.715078,0.8806922702916666,0.4250722569214626,0.7003988122456777,0.7137523791057311
dnabarcoder,0.432268241257524,0.6585757321349203,0.715078,0.27095307674999997,0.19822422491621972,0.0,0.6861058320418882
IPCA,0.35080392569117935,0.0,0.715078,0.6600728880625,0.15891068773106556,0.0,0.23780798064428466
dict-trie,0.5981823739883709,0.6585757321349203,0.8,0.9491733524999999,0.3035409593029244,0.22370144841970407,0.36454933393555233
BioDataFuse,0.6564831121953509,0.6150232008914465,0.9071894731256964,0.6448054367083333,0.378734427519009,0.7003988122456777,0.6408972354569482
LightDock,0.6629155955781294,1.0,0.830377,0.202045327875,,,0.6955099159183046
LoFTK,0.4823237172280266,0.0,0.805987,0.5825200430416666,0.1946547548061388,0.7003988122456777,0.5539864933154893
PathBench-MIL,0.4755573349830731,0.591743,0.715078,0.461700167125,0.35034361940661024,0.22370144841970407,0.33837625334092736
ScAnalyzer,0.4099640080235363,0.0,0.715078,0.64058581725,0.3426503474966308,0.0,0.49420767732321996
SambaR,0.5088748586116494,0.0,0.715078,1.0,0.31677865580776077,0.0,0.7630860021303256
DiffusionLab,0.4456227052698429,0.0,0.715078,0.6319331373333332,0.3214859294644907,0.22370144841970407,0.6204037839168184
bin-parser,0.6414161735439807,0.6585757321349203,0.9071894731256964,0.91459255825,0.3268611311416354,0.22370144841970407,0.5556785010327405
MEA-ToolBox,0.42555791618750627,0.0,0.465632,1.0,0.2616516677519676,0.0,0.6130871008981059
RRE-Finder,0.4562411792775047,0.6585757321349203,0.563193,0.6912290062499999,0.29880163366683626,0.0,0.2880700906828583
ValidSense,0.4729862594060103,0.6972475,0.7712421074972144,0.5829948999375,0.15891068773106556,0.22370144841970407,0.15571116657954037
StochPy,0.5996779658634173,0.6585757321349203,0.805987,0.5876063165833333,0.16069496315789472,0.7003988122456777,0.7353959195404457
ARAX,0.5791723418470448,0.6585757321349203,0.805987,0.4866752627291666,0.39114460425681463,0.5233026361740265,0.551088944860854
